Vendor Name,Product Name,SKU,Pcs Per Case,Pcs Per Line,Pc Price,Case Price,Pc Cost,Case Cost,Min Stock,Default Order,Vendor Phone
Gambles,Banana/LB,9,1,1,0.79,0.79,0.50,0.50,200,800,14165551234
Gambles,Lime Green Each,53,1,1,0.40,0.40,0.09,0.09,1150,1150,14165551234
Gambles,Lemon Yellow Each,54,1,1,0.50,0.50,0.35,0.35,390,390,14165551234
Gambles,Coriander Bunch,28,1,1,1.99,1.99,0.80,0.80,240,360,14165551234
Gambles,Curry Leaf,129,1,1,2.29,2.29,0.80,0.80,30,60,14165551234
Gambles,Mint-Podina Bunch,60,1,1,1.49,1.49,0.62,0.62,72,120,14165551234
Gambles,Methi-Fenugreek Bunch,59,1,1,2.49,2.49,1.15,1.15,120,240,14165551234
Gambles,Okra Indian/LB,65,1,1,4.99,4.99,3.60,3.60,75,300,14165551234
Gambles,Tomatoes Roman/LB,124,1,1,1.99,1.99,1.36,1.36,75,250,14165551234
Gambles,Tomato Round/LB,99,1,1,1.99,1.99,0.75,0.75,500,500,14165551234
Gambles,Potatoes White Large/LB,86,1,1,1.49,1.49,0.90,0.90,50,50,14165551234
Gambles,Carrot Indian/LB,145,1,1,1.99,1.99,1.00,1.00,80,200,14165551234
Gambles,Long Squash,56,1,1,1.99,1.99,0.65,0.65,120,240,14165551234
Gambles,Tindora/LB,98,1,1,4.49,4.49,1.90,1.90,30,150,14165551234
Gambles,Drumstick Each,32,1,1,1.69,1.69,3.00,3.00,22,22,14165551234
QNF,Maggi Masala 70G,055000490955,6,6,0.69,2.00,0.31,1.86,960,960,14165552345
QNF,Shan Biryani Mix 60G,8801085130,6,6,1.99,11.94,1.20,7.20,120,120,14165552345
QNF,MDH Chana Masala 100G,8901086910,12,12,2.49,29.88,1.50,18.00,96,96,14165552345
QNF,National Bombay Biryani 70G,8900023456,6,6,1.79,10.74,1.00,6.00,60,60,14165552345
QNF,Shan Karahi 50G,8900045678,6,6,1.99,11.94,1.20,7.20,72,72,14165552345
East,Karachi Halwa,582,1,1,2.00,2.00,0.99,0.99,48,48,14165553456
East,Gulab Jamun Mix 200G,8900056789,12,12,3.49,41.88,2.10,25.20,48,48,14165553456
East,Papad Lijjat 200G,8901067891,10,10,2.99,29.90,1.80,18.00,60,60,14165553456
East,Basmati Rice 10LB,8901078901,1,1,12.99,12.99,8.50,8.50,24,24,14165553456
East,Ghee Pure 1KG,8901089012,1,1,14.99,14.99,10.00,10.00,18,18,14165553456
