Vendor Name,Product Name,SKU,Pcs Per Case,Pcs Per Line,Pc Price,Case Price,Pc Cost,Case Cost,Min Stock,Default Order,Vendor Phone
Gambles,Banana/LB,9,1,1,0.79,0.79,0.50,0.50,150,600,14165551234
Gambles,Lime Green Each,53,1,1,0.40,0.40,0.09,0.09,800,800,14165551234
Gambles,Coriander Bunch,28,1,1,1.99,1.99,0.80,0.80,180,240,14165551234
Gambles,Okra Indian/LB,65,1,1,4.99,4.99,3.60,3.60,50,200,14165551234
Gambles,Tomatoes Roman/LB,124,1,1,1.99,1.99,1.36,1.36,60,180,14165551234
Gambles,Potatoes White Large/LB,86,1,1,1.49,1.49,0.90,0.90,40,40,14165551234
Gambles,Carrot Indian/LB,145,1,1,1.99,1.99,1.00,1.00,60,150,14165551234
Gambles,Ginger Root/LB,201,1,1,3.99,3.99,2.50,2.50,30,60,14165551234
Gambles,Green Chilli/LB,202,1,1,3.49,3.49,2.00,2.00,40,80,14165551234
Gambles,Eggplant Indian/LB,203,1,1,2.49,2.49,1.50,1.50,35,70,14165551234
QNF,Maggi Masala 70G,055000490955,6,6,0.69,2.00,0.31,1.86,600,600,14165552345
QNF,Shan Biryani Mix 60G,8801085130,6,6,1.99,11.94,1.20,7.20,72,72,14165552345
QNF,Shan Nihari 60G,8900034567,6,6,2.29,13.74,1.40,8.40,48,48,14165552345
QNF,Shan Haleem Mix 300G,8900056780,4,4,4.99,19.96,3.20,12.80,24,24,14165552345
Fresh Dairy,Desi Yogurt 750G,FD001,12,12,3.99,47.88,2.50,30.00,48,48,14165554567
Fresh Dairy,Paneer Block 350G,FD002,8,8,4.99,39.92,3.20,25.60,32,32,14165554567
Fresh Dairy,Fresh Cream 500ML,FD003,12,12,3.49,41.88,2.20,26.40,36,36,14165554567
Fresh Dairy,Lassi Mango 1L,FD004,6,6,4.49,26.94,2.80,16.80,24,24,14165554567
