Vendor Name,Product Name,SKU,Pcs Per Case,Pcs Per Line,Pc Price,Case Price,Pc Cost,Case Cost,Min Stock,Default Order,Vendor Phone
Gambles,Banana/LB,9,1,1,0.79,0.79,0.50,0.50,100,400,14165551234
Gambles,Tomato Round/LB,99,1,1,1.99,1.99,0.75,0.75,300,300,14165551234
Gambles,Coriander Bunch,28,1,1,1.99,1.99,0.80,0.80,120,180,14165551234
Gambles,Curry Leaf,129,1,1,2.29,2.29,0.80,0.80,20,40,14165551234
Gambles,Mint-Podina Bunch,60,1,1,1.49,1.49,0.62,0.62,48,80,14165551234
East,Karachi Halwa,582,1,1,2.00,2.00,0.99,0.99,24,24,14165553456
East,Gulab Jamun Mix 200G,8900056789,12,12,3.49,41.88,2.10,25.20,36,36,14165553456
East,Samosa Patti 500G,8901090123,20,20,5.99,119.80,3.80,76.00,40,40,14165553456
East,Vermicelli Roasted 200G,8901091234,24,24,1.49,35.76,0.85,20.40,48,48,14165553456
East,Jaggery Block 1KG,8901092345,12,12,4.99,59.88,3.20,38.40,24,24,14165553456
Singh Frozen,Samosa Chicken 12pk,SF001,6,6,6.99,41.94,4.50,27.00,24,24,14165555678
Singh Frozen,Paratha Plain 5pk,SF002,12,12,3.99,47.88,2.40,28.80,36,36,14165555678
Singh Frozen,Naan Tandoori 4pk,SF003,8,8,4.49,35.92,2.80,22.40,24,24,14165555678
Singh Frozen,Spring Roll Veg 20pk,SF004,6,6,5.99,35.94,3.80,22.80,18,18,14165555678
Singh Frozen,Kebab Seekh 8pk,SF005,6,6,8.99,53.94,5.80,34.80,12,12,14165555678
Metro Beverages,Mango Juice 1L,MB001,12,12,2.99,35.88,1.80,21.60,48,48,14165556789
Metro Beverages,Lassi Sweet 250ML,MB002,24,24,1.49,35.76,0.90,21.60,72,72,14165556789
Metro Beverages,Rose Water Drink 300ML,MB003,24,24,1.29,30.96,0.75,18.00,48,48,14165556789
Metro Beverages,Coconut Water 500ML,MB004,12,12,2.49,29.88,1.60,19.20,36,36,14165556789
