Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,casecost (product.metafields.custom.casecost),caseqty (product.metafields.custom.caseqty),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Flavor (product.metafields.shopify.flavor),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
777-nannari-sharbat-750ml,777 - NANNARI SHARBAT - 750ML,<p>777 - NANNARI SHARBAT - 750ML</p>,777,"Food, Beverages & Tobacco > Beverages > Powdered Beverage Mixes","",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'897231002848,0.0,,0,deny,manual,5.99,,true,true,,,,,'897231002848,,,,false,,,6848,,,,,,,,,,,,,,,,,,,,,,kg,,,active
777-rose-sharbat-750ml,777 - ROSE SHARBAT - 750ML,<p>777 - ROSE SHARBAT- 750ML</p>,777,"Food, Beverages & Tobacco > Beverages > Fruit Flavored Drinks","",Juice & Soft Drink,true,Title,Default Title,,,,,,,,'897231002855,750.0,,0,deny,manual,4.99,,true,true,,,,,'897231002855,,,,false,,,8036,,,,,,,,,,,,,,,,,,,,,,g,,,active
grace-grain-cassava-5lbs,GRACE & GRAIN - CASSAVA - 5LBS,<p>GRACE &amp; GRAIN - CASSAVA - 5LBS</p>,Grace & Grain,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Flour","",Frozen Vegetables,true,Title,Default Title,,,,,,,,'785034071386,2267.96185,,0,deny,manual,9.99,,true,true,,,,,'785034071386,,,,false,,,2775,,,,,,,,,,,,,,,,,,,,,,lb,,,active
taza-chicken-samosas-25-pc,TAZA - CHICKEN SAMOSAS - 25 PC,<p>TAZA - CHICKEN SAMOSAS - 25 PC</p>,Taza,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Appetizers & Side Dishes",Frozen,"",true,Title,Default Title,,,,,,,,'629040006416,997.903214,,0,deny,manual,21.99,,true,true,,,,,'629040006416,,,,false,,,499989,,,,,,,,,,,,,,,,,,,,,,lb,,,active
dabur-golden-multiflora-honey-500gm,DABUR - GOLDEN MULTIFLORA HONEY - 500GM,<p>DABUR - GOLDEN MULTIFLORA HONEY - 500GM</p>,DABUR,"Food, Beverages & Tobacco > Food Items > Condiments & Sauces > Honey","",Households,true,Title,Default Title,,,,,,,,'810165930544,0.0,,0,deny,manual,9.99,,true,true,,,,,'810165930544,,,,false,,,4947,,,,,,,,,,,,,,,,,,,,,,kg,,,active
deep-sambhar-800gm,DEEP - SAMBHAR - 800GM,<p>DEEP - SAMBHAR - 800GM</p>,Deep,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées",Frozen,Frozen Vegetables,true,Title,Default Title,,,,,,,,'011433165679,800.0,,0,deny,manual,9.99,,true,true,,,,,'011433165679,,,,false,,,499988,,,,,,,,,,,,,,,,,,,,,,g,,,active
quik-cafe-chicory-blend-100gm,QUIK CAFE - CHICORY BLEND - 100GM,<p>QUIK CAFE - CHICORY BLEND - 100gm</p>,Quik foods,"Food, Beverages & Tobacco > Beverages > Coffee",Premix,"",true,Title,Default Title,,,,,,,,'85566400242,100.0,,0,deny,manual,5.99,,true,true,,,,,'855664004242,,,,false,,,1868,,,,,,,,,,,,,,,,,,,,,,g,,,active
chennai-caters-tamarind-450gm,CHENNAI CATERS - TAMARIND - 450GM,<p>CHENNAI CATERS - TAMARIND - 450GM</p>,CHENNAI CATERS,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients","","",true,Title,Default Title,,,,,,,,'6012010509262,450.0,,-3,deny,manual,3.99,,true,true,,,,,'6012010509262,,,,false,,,2660,,,,,,,,,,,,,,,,,,,,,,g,,,active
deep-kutchi-murukku-chili-200gm,DEEP - KUTCHI MURUKKU CHILI - 200GM,<p>DEEP - KUTCHI MURUKKU  CHILI - 200GM</p>,Deep,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips",Chips,"",true,Title,Default Title,,,,,,,,'011433165792,200.0,,0,deny,manual,2.99,,true,true,,,,,'011433165792,,,,false,,,2392,,,,,,,,,,,,,,,,,,,,,,g,,,active
sardar-jee-roasted-makhana-90gm,SARDAR JEE - ROASTED MAKHANA - 90GM,<p>SARDAR JEE - ROASTED MAKHANA - 90GM</p>,SARDAR jee,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds",Nuts,"",true,Title,Default Title,,,,,,,,'628120231359,90.0,,0,deny,manual,5.49,,true,true,,,,,'628120231359,,,,false,,,433,,,,,,,,,,,,,,,,,,,,,,g,,,active
deep-veggie-masala-burger-16pc,DEEP - VEGGIE MASALA BURGER - 16PC,<p>DEEP - VEGGIE MASALA BURGER- 16PC</p>,Deep,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées",Frozen,"",true,Title,Default Title,,,,,,,,'011433134989,1133.980925,,0,deny,manual,18.99,,true,true,,,,,'011433134989,,,,false,,,499988,,,,,,,,,,,,,,,,,,,,,,lb,,,active
signora-ware-idli-maker,SIGNORA WARE - IDLI MAKER,<p>SIGNORAWARE - IDLI MAKER</p>,Signoraware,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Molds,"",Utensils,true,Title,Default Title,,,,,,,,'8903254001064,0.0,,0,deny,manual,17.99,,true,true,,,,,'8903254001064,,,,false,,,8006,,,,,,,,,,,,,,,,,,,,,,kg,,,active
mina-chicken-breast-burgers-6pc,MINA - CHICKEN BREAST BURGERS - (6PC),<p>MINA - CHICKEN BREAST BURGARS - (6PC)</p>,Mina,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats > Poultry > Chicken",Frozen,"",true,Title,Default Title,,,,,,,,'063100297275,552.0,,0,deny,manual,11.99,,true,true,,,,,'063100297275,,,,false,,,5805,,,,,,,,,,,,,,,,,,,,,,g,,,active
mina-jalapeno-beef-burgers-8pc,MINA - JALAPENO BEEF BURGERS ( 8PC),<p>MINA - JALAPENO BEEF BURGERS - 800GM</p>,Mina,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats > Beef",Frozen,Uncategorized,true,Title,Default Title,,,,,,,,'063100421496,800.0,,0,deny,manual,16.99,,true,true,,,,,'063100421496,,,,false,,,5805,,,,,,,,,,,,,,,,,,,,,,g,,,active
sardar-jee-kala-khatta-candy-400gm,SARDAR JEE - KALA KHATTA CANDY - 400GM,<p>SARDAR JEE - KALA KHATTA CANDY - 400GM</p>,SARDAR jee,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy",Candy,Dry Fruits & Candy,true,Title,Default Title,,,,,,,,'8901234100301,400.0,,0,deny,manual,5.99,,true,true,,,,,'8901234100301,,,,false,,,4748,,,,,,,,,,,,,,,,,,,,,,g,,,active
sardar-jee-dry-sweet-amla-500gm,SARDAR JEE - DRY SWEET AMLA - 500GM,<p>SARDAR JEE - DRY SWEET AMLA - 500GM</p>,SARDAR jee,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Dried Fruits",Candy,Dry Fruits & Candy,true,Title,Default Title,,,,,,,,'628451659136,500.0,,0,deny,manual,7.99,,true,true,,,,,'628451659136,,,,false,,,1755,,,,,,,,,,,,,,,,,,,,,,g,,,active
sardar-jee-amla-candy-450gm,SARDAR JEE - AMLA CANDY - 450GM,<p>SARDAR JEE - AMLA CANDY SWEET CHATPATA MASALA - 450GM</p>,SARDAR jee,"Food, Beverages & Tobacco > Food Items > Candy & Chocolate > Candy",Candy,Dry Fruits & Candy,true,Title,Default Title,,,,,,,,'628120230970,450.0,,0,deny,manual,7.99,,true,true,,,,,'628120230970,,,,false,,,4748,,,,,,,,,,,,,,,,,,,,,,g,,,active
grace-grain-idiyappam-10pcs,GRACE & GRAIN - IDIYAPPAM - 10PCS,<p>GRACE &amp; GRAIN - IDIYAPPAM - 10PCS</p>,Grace,"Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées",Frozen,Paratha & Roti,true,Title,Default Title,,,,,,,,'785034071355,500.0,,0,deny,manual,5.99,,true,true,,,,,'785034071355,,,,false,,,499988,,,,,,,,,,,,,,,,,,,,,,g,,,active
grace-grain-malabar-parotta-16pc,GRACE & GRAIN - MALABAR PAROTTA - 16PC,<p>GRACE &amp; GRAIN - MALABAR PAROTTA - 16PC</p>,Grace,"Food, Beverages & Tobacco > Food Items > Bakery > Breads & Buns",Frozen,Paratha & Roti,true,Title,Default Title,,,,,,,,'699838312067,1200.0,,0,deny,manual,8.99,,true,true,,,,,'699838312067,,,,false,,,424,,,,,,,,,,,,,,,,,,,,,,g,,,active
grace-grain-shallots-400gm,GRACE & GRAIN - SHALLOTS - 400GM,<p>GRACE &amp; GRAIN - SHALLOTS - 400GM</p>,Grace,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Fresh & Frozen Vegetables > Shallots",Frozen,Frozen Vegetables,true,Title,Default Title,,,,,,,,'699838312050,400.0,,-1,deny,manual,3.99,,true,true,,,,,'699838312050,,,,false,,,6818,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-undhiyu-mix-340gm,SURATI - UNDHIYU MIX  -340GM,<p>SURATI - UNDHIYU MIX - 340GM</p>,Surati,,Frozen,Frozen Vegetables,true,Title,Default Title,,,,,,,,'068656009167,340.0,,-4,deny,manual,0.00,,true,true,,,,,'068656009167,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-val-papdi-340gm-1,SURATI - VAL PAPDI - 340GM,<p>SURATI - VAL PAPDI - 340GM</p>,Surati,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Flour",Frozen,Frozen Vegetables,true,Title,Default Title,,,,,,,,'068656009211,340.0,,-2,deny,manual,2.99,,true,true,,,,,'068656009211,,,,false,,,2775,,,,,,,,,,,,,,,,,,,,,,g,,,active
surati-karela-340gm,SURATI - KARELA - 340GM,<p>SURATI - KARELA - 340GM</p>,Surati,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Fresh & Frozen Fruits > Melons",Frozen,Frozen Vegetables,true,Title,Default Title,,,,,,,,'068656008849,340.0,,-3,deny,manual,2.99,,true,true,,,,,'068656008849,,,,false,,,6649,,,,,,,,,,,,,,,,,,,,,,g,,,active
grace-grain-drumstick-400gm,GRACE & GRAIN - DRUMSTICK   - 400GM,<p>GRACE &amp; GRAIN - DRUMSTICK - 400GM</p>,Grace,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats > Beef",Frozen,Frozen Vegetables,true,Title,Default Title,,,,,,,,'699838312074,400.0,,0,deny,manual,3.99,,true,true,,,,,'699838312074,,,,false,,,5805,,,,,,,,,,,,,,,,,,,,,,g,,,active
grace-grain-sambhar-mix-400gm,GRACE & GRAIN - SAMBHAR MIX - 400GM,<p>GRACE &amp; GRAIN - SAMBHAR MIX - 400GM</p>,GRACE,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Herbs & Spices",Frozen,Frozen Vegetables,true,Title,Default Title,,,,,,,,'699838312081,400.0,,-4,deny,manual,3.99,,true,true,,,,,'699838312081,,,,false,,,1529,,,,,,,,,,,,,,,,,,,,,,g,,,active
handi-coldpressed-linseed-oil-250ml,HANDI - COLDPRESSED LINSEED OIL - 250ML,<p>HANDI - COLDPRESSED LINSEED OIL -250ML</p>,apniroots Grocery,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Cooking Oils > Rapeseed Oil",Oils,Beauty - Hair Care,true,Title,Default Title,,,,,,,,'667064009563,0.0,,0,deny,manual,6.99,,true,true,,,,,'667064009563,,,,false,,,2126,,,,,,,,,,,,,,,,,,,,,,kg,,,active
handi-glycerin-oil-110ml,HANDI - GLYCERIN OIL - 110ML,<p>HANDI - GLYCERIN OIL - 110ML</p>,apniroots Grocery,Health & Beauty > Personal Care > Cosmetics > Skin Care > Body Oil,"",Beauty - Body Care,true,Title,Default Title,,,,,,,,'667064004384,0.0,,0,deny,manual,4.99,,true,true,,,,,'667064004384,,,,false,,,6104,,,,,,,,,,,,,,,,,,,,,,kg,,,active
handi-rose-water-sprayer-125ml,HANDI - ROSE WATER SPRAYER - 125ML,<p>HANDI - ROSE WATER SPRAYER - 125ML</p>,apniroots Grocery,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Body Mists,Premix,Beauty - Body Care,true,Title,Default Title,,,,,,,,'667064004599,0.0,,0,deny,manual,2.99,,true,true,,,,,'667064004599,,,,false,,,1967,,,,,,,,,,,,,,,,,,,,,,kg,,,active
sardar-jee-jaipuri-gulkand-saunf-mix-180gm,SARDAR JEE - JAIPURI GULKAND SAUNF MIX  - 180GM,<p>SARDAR JEE - JAIPURI GULKAND SAUNF MIX - 180GM</p>,apniroots Grocery,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Herbs & Spices",Candy,"",true,Title,Default Title,,,,,,,,'628120231144,180.0,,0,deny,manual,3.99,,true,true,,,,,'628120231144,,,,false,,,1529,,,,,,,,,,,,,,,,,,,,,,g,,,active
